"country","MedianAge","MedianAgeMale","MedianAgeFemale"
"Monaco","53.1000","51.7000","54.5000"
"Japan","47.3000","46","48.7000"
"Germany","47.1000","46","48.2000"
"Saint Pierre and Miquelon","46.5000","46","47"
"Italy","45.5000","44.4000","46.5000"
"Slovenia","44.5000","42.8000","46.2000"
"Greece","44.5000","43.5000","45.6000"
"San Marino","44.4000","43.3000","45.4000"
"Hong Kong","44.4000","43.5000","45"
"Andorra","44.3000","44.4000","44.1000"
"Isle of Man","44.2000","43.3000","44.9000"
"Saint Barthelemy","44.1000","44.1000","44.2000"
"Austria","44","42.8000","45.1000"
"Lithuania","43.7000","39.7000","47.1000"
"Latvia","43.6000","39.7000","46.9000"
"Bermuda","43.4000","41.5000","45.3000"
"Liechtenstein","43.2000","41.7000","44.5000"
"Croatia","43","41.1000","45"
"Estonia","42.7000","39.4000","46.1000"
"Bulgaria","42.7000","40.9000","44.7000"
"Spain","42.7000","41.5000","43.9000"
"Serbia","42.6000","40.9000","44.3000"
"Netherlands","42.6000","41.5000","43.6000"
"Finland","42.5000","40.9000","44.3000"
"Switzerland","42.4000","41.4000","43.4000"
"Hungary","42.3000","40.4000","44.3000"
"Denmark","42.2000","41.2000","43.2000"
"Portugal","42.2000","40.2000","44.4000"
"Canada","42.2000","40.9000","43.5000"
"Bosnia and Herzegovina","42.1000","40.5000","43.5000"
"Czech Republic","42.1000","40.8000","43.4000"
"Malta","41.8000","40.8000","43"
"South Korea","41.8000","40.2000","43.4000"
"Puerto Rico","41.5000","39.5000","43.2000"
"Cuba","41.5000","40.1000","42.6000"
"Belgium","41.4000","40.2000","42.7000"
"France","41.4000","39.6000","43.1000"
"Sweden","41.2000","40.2000","42.2000"
"Romania","41.1000","39.7000","42.6000"
"Sint Maarten","41","39.9000","42"
"United States Virgin Islands","41","39.9000","41.9000"
"Montenegro","40.7000","39.9000","41.8000"
"Taiwan","40.7000","40","41.5000"
"Poland","40.7000","39","42.4000"
"Ukraine","40.6000","37.4000","43.7000"
"Slovakia","40.5000","38.8000","42.3000"
"United Kingdom","40.5000","39.3000","41.7000"
"Cayman Islands","40","39.3000","40.7000"
