areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E06000003,Redcar and Cleveland,utla,2021-12-28,98647
E06000014,York,utla,2021-12-28,150028
E06000050,Cheshire West and Chester,utla,2021-12-28,261839
E08000001,Bolton,utla,2021-12-28,192441
E08000016,Barnsley,utla,2021-12-28,172126
E08000031,Wolverhampton,utla,2021-12-28,165543
E08000032,Bradford,utla,2021-12-28,330502
E09000018,Hounslow,utla,2021-12-28,188946
E09000032,Wandsworth,utla,2021-12-28,231741
E09000033,Westminster,utla,2021-12-28,147675
E10000034,Worcestershire,utla,2021-12-28,445299
S12000013,Na h-Eileanan Siar,utla,2021-12-28,20774
S12000029,South Lanarkshire,utla,2021-12-28,244043
S12000045,East Dunbartonshire,utla,2021-12-28,86239
E06000003,Redcar and Cleveland,utla,2021-12-27,98610
E06000014,York,utla,2021-12-27,149946
E06000050,Cheshire West and Chester,utla,2021-12-27,261699
E08000001,Bolton,utla,2021-12-27,192371
E08000016,Barnsley,utla,2021-12-27,171976
E08000031,Wolverhampton,utla,2021-12-27,165442
E08000032,Bradford,utla,2021-12-27,330267
E09000018,Hounslow,utla,2021-12-27,188810
E09000032,Wandsworth,utla,2021-12-27,231664
E09000033,Westminster,utla,2021-12-27,147587
E10000034,Worcestershire,utla,2021-12-27,445105
S12000013,Na h-Eileanan Siar,utla,2021-12-27,20761
S12000029,South Lanarkshire,utla,2021-12-27,243904
S12000045,East Dunbartonshire,utla,2021-12-27,86237
E06000003,Redcar and Cleveland,utla,2021-12-26,98580
E06000014,York,utla,2021-12-26,149895
E06000050,Cheshire West and Chester,utla,2021-12-26,261578
E08000001,Bolton,utla,2021-12-26,192285
E08000016,Barnsley,utla,2021-12-26,171902
E08000031,Wolverhampton,utla,2021-12-26,165341
E08000032,Bradford,utla,2021-12-26,330093
E09000018,Hounslow,utla,2021-12-26,188672
E09000032,Wandsworth,utla,2021-12-26,231584
E09000033,Westminster,utla,2021-12-26,147406
E10000034,Worcestershire,utla,2021-12-26,444968
S12000013,Na h-Eileanan Siar,utla,2021-12-26,20755
S12000029,South Lanarkshire,utla,2021-12-26,243812
S12000045,East Dunbartonshire,utla,2021-12-26,86231
E06000003,Redcar and Cleveland,utla,2021-12-25,98557
E06000014,York,utla,2021-12-25,149887
E06000050,Cheshire West and Chester,utla,2021-12-25,261576
E08000001,Bolton,utla,2021-12-25,192274
E08000016,Barnsley,utla,2021-12-25,171901
E08000031,Wolverhampton,utla,2021-12-25,165337
E08000032,Bradford,utla,2021-12-25,330059
E09000018,Hounslow,utla,2021-12-25,188653
E09000032,Wandsworth,utla,2021-12-25,231574
E09000033,Westminster,utla,2021-12-25,147401
E10000034,Worcestershire,utla,2021-12-25,444965
S12000013,Na h-Eileanan Siar,utla,2021-12-25,20755
S12000029,South Lanarkshire,utla,2021-12-25,243812
S12000045,East Dunbartonshire,utla,2021-12-25,86231
E06000003,Redcar and Cleveland,utla,2021-12-24,98557
E06000014,York,utla,2021-12-24,149887
E06000050,Cheshire West and Chester,utla,2021-12-24,261576
E08000001,Bolton,utla,2021-12-24,192273
E08000016,Barnsley,utla,2021-12-24,171901
E08000031,Wolverhampton,utla,2021-12-24,165337
E08000032,Bradford,utla,2021-12-24,330049
E09000018,Hounslow,utla,2021-12-24,188639
E09000032,Wandsworth,utla,2021-12-24,231574
E09000033,Westminster,utla,2021-12-24,147401
E10000034,Worcestershire,utla,2021-12-24,444965
S12000013,Na h-Eileanan Siar,utla,2021-12-24,20755
S12000029,South Lanarkshire,utla,2021-12-24,243812
