economy,time,EG.ELC.RNEW.ZS,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD,iff
BRA,2000,89.49,1.14,6787.68,128.39
BRA,2001,84.29,0.98,6788.59,5.39
BRA,2002,85.74,1.32,6904.63,33.9
BRA,2003,87.16,1.47,6896.15,7.64
BRA,2004,86.03,1.6,7206.27,1.16
BRA,2005,87.12,1.91,7352.29,11.88
BRA,2006,86.75,1.9,7560.71,1.25
BRA,2007,88.21,1.56,7936.83,0.93
BRA,2008,84.27,1.83,8258.63,20.0
BRA,2009,89.0,1.01,8169.27,178.39
BRA,2010,84.72,1.17,8702.27,146.86
BRA,2011,87.12,1.55,8965.63,178.53
BRA,2012,82.45,1.53,9056.59,249.94
BRA,2013,76.69,1.42,9247.59,94.89
BRA,2014,73.08,1.42,9214.99,499.19
BRA,2015,73.97,0.84,8814.0,2.28
BRA,2016,,0.64,8455.32,163.48
BRA,2017,,1.02,8498.31,587.96
BRA,2018,,1.72,8582.35,385.43
CHN,2000,16.64,1.74,2193.89,247.45
CHN,2001,18.96,1.51,2359.57,321.21
CHN,2002,17.62,1.17,2557.89,215.1
CHN,2003,15.04,1.2,2797.17,23.0
CHN,2004,16.22,2.66,3061.83,33.2
CHN,2005,16.18,2.83,3390.71,157.49
CHN,2006,15.59,2.8,3800.76,105.59
CHN,2007,15.26,2.59,4319.02,25.25
CHN,2008,17.74,4.26,4711.64,114.27
CHN,2009,17.86,1.71,5128.9,59.5
CHN,2010,18.62,2.49,5647.06,78.65
CHN,2011,16.76,3.15,6156.83,43.75
CHN,2012,19.97,2.03,6608.71,102.19
CHN,2013,20.3,1.51,7086.87,306.27
CHN,2014,22.61,1.19,7574.68,234.78
CHN,2015,23.93,0.55,8066.94,93.54
CHN,2016,,0.46,8572.88,1304.87
CHN,2017,,0.59,9117.34,327.72
CHN,2018,,0.72,9688.47,325.5
IDN,2000,15.96,6.77,1867.55,2.31
IDN,2001,17.47,4.87,1909.29,5.19
IDN,2002,14.95,3.75,1968.3,0.12
IDN,2003,13.64,3.49,2034.76,204.37
IDN,2004,13.61,4.79,2108.64,50.74
IDN,2005,13.61,5.71,2199.09,184.95
IDN,2006,12.26,5.11,2289.42,251.16
IDN,2007,12.9,4.53,2402.67,647.39
IDN,2008,13.32,6.11,2513.67,19.86
IDN,2009,13.23,3.1,2595.3,30.36
IDN,2010,15.85,3.25,2720.19,46.92
IDN,2011,11.99,4.01,2849.35,953.58
IDN,2012,11.24,3.36,2980.61,16.44
IDN,2013,12.27,2.89,3104.35,247.23
IDN,2014,11.48,2.62,3217.32,323.04
IDN,2015,10.65,1.52,3331.7,387.78
IDN,2016,12.07,1.19,3456.93,343.83
IDN,2017,12.56,1.48,3589.72,430.16
IDN,2018,17.04,2.14,3732.87,1076.35
IND,2000,13.59,1.0,757.67,493.09
IND,2001,13.21,0.83,780.61,197.73
IND,2002,12.06,0.81,796.72,16.95
IND,2003,13.47,0.78,845.27,10.53
IND,2004,14.48,1.03,897.63,339.33
IND,2005,16.62,1.15,953.57,160.14
IND,2006,17.54,1.22,1014.63,158.07
IND,2007,17.86,1.08,1075.99,473.55
IND,2008,16.51,1.67,1093.08,336.18
IND,2009,15.66,0.79,1162.5,218.35
IND,2010,16.04,0.95,1244.37,315.53
IND,2011,17.32,1.44,1292.82,1930.89
IND,2012,15.73,1.29,1346.68,1150.25
IND,2013,17.35,1.11,1415.83,524.44
IND,2014,16.25,0.88,1503.42,703.19
IND,2015,15.34,0.43,1605.61,929.76
IND,2016,,0.34,1719.32,2173.37
IND,2017,,0.44,1816.73,833.66
IND,2018,,0.58,1915.44,2133.78
MEX,2000,19.8,2.23,8861.87,2.41
MEX,2001,17.11,1.62,8702.98,3.46
MEX,2002,15.06,1.74,8580.89,14.42
MEX,2003,12.13,2.87,8587.09,0.26
MEX,2004,14.45,3.44,8801.32,0.52
MEX,2005,15.2,4.57,8877.85,34.11
MEX,2006,15.33,4.85,9142.8,33.26
MEX,2007,14.09,4.37,9214.35,0.16
MEX,2008,17.54,5.08,9181.4,6.79
MEX,2009,12.95,3.09,8568.62,4.52
MEX,2010,16.6,3.56,8878.56,47.98
MEX,2011,14.89,4.87,9076.3,1.0
MEX,2012,13.79,4.65,9280.26,378.66
MEX,2013,13.3,4.13,9282.99,43.5
MEX,2014,17.54,3.4,9426.32,385.36
MEX,2015,15.39,1.42,9616.65,211.11
MEX,2016,,1.06,9751.57,466.07
MEX,2017,,1.52,9842.4,509.01
MEX,2018,,2.06,9945.78,387.84
NGA,2002,38.22,4.54,1685.2,0.0
NGA,2004,33.4,8.63,1878.15,0.18
NGA,2005,33.0,10.42,1948.05,18.72
NGA,2006,27.1,8.22,2012.84,1.21
NGA,2007,27.1,7.25,2089.78,0.54
NGA,2010,24.4,7.09,2403.65,0.58
NGA,2011,21.76,9.36,2464.35,18.63
NGA,2012,19.71,7.72,2500.64,21.05
NGA,2013,18.44,5.69,2597.01,1012.01
NGA,2014,17.59,4.41,2688.27,25.13
NGA,2015,18.2,1.67,2687.48,46.76
NGA,2016,,1.33,2575.46,61.62
NGA,2017,,2.91,2529.39,5365.33
NGA,2018,,4.44,2512.19,96.64
TUR,2000,24.94,0.09,6543.73,132.87
TUR,2001,19.84,0.09,6076.0,0.01
TUR,2004,30.73,0.07,7194.68,130.76
TUR,2005,24.54,0.08,7738.58,0.35
TUR,2006,25.25,0.09,8173.54,0.25
TUR,2007,19.03,0.08,8483.97,1.71
TUR,2008,17.35,0.13,8451.48,68.32
TUR,2009,19.58,0.08,7942.03,502.42
TUR,2010,26.38,0.1,8491.59,288.88
TUR,2011,25.33,0.13,9299.14,820.36
TUR,2012,27.23,0.1,9586.77,283.78
TUR,2013,28.82,0.08,10225.72,606.62
TUR,2014,20.89,0.08,10549.68,544.01
TUR,2015,31.96,0.04,11006.28,438.63
TUR,2016,,0.03,11187.05,1454.99
TUR,2017,,0.04,11835.26,399.98
TUR,2018,,0.09,12004.38,1003.48
ZAF,2000,0.68,1.0,4505.9,0.38
ZAF,2001,1.1,1.66,4566.27,1.27
ZAF,2002,1.21,1.18,4675.76,26.26
ZAF,2004,0.51,2.21,4911.5,0.04
ZAF,2005,0.67,1.63,5107.08,13.43
ZAF,2006,1.27,1.62,5325.55,8.08
ZAF,2007,0.44,2.04,5539.02,1.2
ZAF,2008,0.59,4.58,5640.02,1.2
ZAF,2009,0.69,1.51,5476.53,0.1
ZAF,2010,0.95,2.1,5561.48,265.36
ZAF,2011,0.92,2.4,5657.22,269.41
ZAF,2012,0.6,1.81,5691.71,484.25
ZAF,2013,0.61,1.55,5740.33,345.13
ZAF,2014,1.29,1.15,5754.49,206.81
ZAF,2015,2.26,0.86,5734.63,725.35
ZAF,2016,,1.03,5673.39,207.09
ZAF,2017,,1.18,5672.69,27.0
ZAF,2018,,1.33,5639.9,358.63
