economy,time,test,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD
BRA,2000,89.49,1.14,6787.68
BRA,2001,84.29,0.98,6788.59
BRA,2002,85.74,1.32,6904.63
BRA,2003,87.16,1.47,6896.15
BRA,2004,86.03,1.6,7206.27
BRA,2005,87.12,1.91,7352.29
BRA,2006,86.75,1.9,7560.71
BRA,2007,88.21,1.56,7936.83
BRA,2008,84.27,1.83,8258.63
BRA,2009,89.0,1.01,8169.27
BRA,2010,84.72,1.17,8702.27
BRA,2011,87.12,1.55,8965.63
BRA,2012,82.45,1.53,9056.59
BRA,2013,76.69,1.42,9247.59
BRA,2014,73.08,1.42,9214.99
BRA,2015,73.97,0.84,8814.0
BRA,2016,,0.64,8455.32
BRA,2017,,1.02,8498.31
BRA,2018,,1.72,8582.35
BRA,2019,,1.72,8638.29
CHN,2000,16.64,1.74,2193.89
CHN,2001,18.96,1.51,2359.57
CHN,2002,17.62,1.17,2557.89
CHN,2003,15.04,1.2,2797.17
CHN,2004,16.22,2.66,3061.83
CHN,2005,16.18,2.83,3390.71
CHN,2006,15.59,2.8,3800.76
CHN,2007,15.26,2.59,4319.02
CHN,2008,17.74,4.26,4711.64
CHN,2009,17.86,1.71,5128.9
CHN,2010,18.62,2.49,5647.06
CHN,2011,16.76,3.15,6156.83
CHN,2012,19.97,2.03,6608.71
CHN,2013,20.3,1.51,7086.87
CHN,2014,22.61,1.19,7574.68
CHN,2015,23.93,0.55,8066.94
CHN,2016,,0.46,8572.88
CHN,2017,,0.59,9117.34
CHN,2018,,0.72,9688.47
CHN,2019,,0.57,10228.29
IDN,2000,15.96,6.77,1867.55
IDN,2001,17.47,4.87,1909.29
IDN,2002,14.95,3.75,1968.3
IDN,2003,13.64,3.49,2034.76
IDN,2004,13.61,4.79,2108.64
IDN,2005,13.61,5.71,2199.09
IDN,2006,12.26,5.11,2289.42
IDN,2007,12.9,4.53,2402.67
IDN,2008,13.32,6.11,2513.67
IDN,2009,13.23,3.1,2595.3
IDN,2010,15.85,3.25,2720.19
IDN,2011,11.99,4.01,2849.35
